date,close,Name
2018-02-05,NA,ISRG
2018-02-06,408.33,ISRG
2018-02-07,399.53,ISRG
2018-01-02,165.27,ITW
2018-01-03,165.96,ITW
2018-01-04,166.15,ITW
2018-01-05,166.03,ITW
2018-01-08,NA,ITW
2018-01-09,168.86,ITW
2018-01-10,167.31,ITW
2018-01-11,NA,ITW
2018-01-12,170.52,ITW
2018-01-16,169.22,ITW
2018-01-17,171.02,ITW
2018-01-18,170.32,ITW
2018-01-19,172.42,ITW
2018-01-22,173.39,ITW
2018-01-23,173.06,ITW
2018-01-24,173.76,ITW
2018-01-25,174.76,ITW
2018-01-26,178.88,ITW
2018-01-29,176.9,ITW
2018-01-30,175.19,ITW
2018-01-31,173.67,ITW
2018-02-01,173.08,ITW
2018-02-02,170.38,ITW
2018-02-05,161.12,ITW
2018-02-06,164.14,ITW
2018-02-07,163.44,ITW
2018-01-02,124.85,IT
2018-01-03,125.19,IT
2018-01-04,127.3,IT
2018-01-05,129.34,IT
2018-01-08,NA,IT
2018-01-09,NA,IT
2018-01-10,128.16,IT
2018-01-11,129.61,IT
2018-01-12,130.13,IT
2018-01-16,130.04,IT
2018-01-17,132.13,IT
2018-01-18,134.0,IT
2018-01-19,137.35,IT
2018-01-22,138.45,IT
2018-01-23,139.21,IT
2018-01-24,140.19,IT
2018-01-25,140.12,IT
2018-01-26,142.14,IT
2018-01-29,139.67,IT
2018-01-30,NA,IT
2018-01-31,138.74,IT
2018-02-01,138.83,IT
2018-02-02,135.19,IT
2018-02-05,NA,IT
2018-02-06,NA,IT
2018-02-07,119.45,IT
2018-01-02,36.35,IVZ
2018-01-03,36.53,IVZ
2018-01-04,36.83,IVZ
2018-01-05,37.28,IVZ
2018-01-08,36.84,IVZ
2018-01-09,37.2,IVZ
2018-01-10,36.82,IVZ
2018-01-11,37.3,IVZ
2018-01-12,37.86,IVZ
2018-01-16,37.2,IVZ
2018-01-17,38.08,IVZ
2018-01-18,37.86,IVZ
2018-01-19,38.13,IVZ
2018-01-22,37.87,IVZ
2018-01-23,37.61,IVZ
2018-01-24,37.61,IVZ
2018-01-25,37.59,IVZ
2018-01-26,38.4,IVZ
2018-01-29,37.48,IVZ
2018-01-30,36.68,IVZ
2018-01-31,36.13,IVZ
2018-02-01,36.03,IVZ
2018-02-02,35.16,IVZ
2018-02-05,33.17,IVZ
2018-02-06,33.61,IVZ
2018-02-07,33.46,IVZ
2018-01-02,116.09,JBHT
2018-01-03,NA,JBHT
2018-01-04,NA,JBHT
2018-01-05,116.27,JBHT
2018-01-08,118.03,JBHT
2018-01-09,120.31,JBHT
2018-01-10,120.11,JBHT
